"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","flowering.period.CWM",0.00587501076335553,0.45413,0.00555926820294361,0.52046
"2","maxheight.CWM",2.90508802462788e-206,1,1.63685458955687e-190,1
"3","nbsp",0.047631593825261,0.26894,0.0552798721936424,0.28368
"4","RaoQ",0.0201457685661629,0.35013,0.0217706990070145,0.39491
"5","FRic",0.000453835523416347,0.62461,0.000693031092581863,0.6343
"6","FDis",0.020134143007631,0.35018,0.0254703414371759,0.35371
"7","CVAnnHSPeak",0.0126022297543588,0.39147,0.00492636361351425,0.60221
"8","CVAnnHSNum",0.0114129302715311,0.39994,0.0106936197707515,0.47325
"9","MDFMDFJanuary",0.0119159609019713,0.39627,0.0129812358925236,0.44005
"10","CVAnnZer",0.0591931750514458,0.24745,0.0542153190916721,0.34764
