"","metric","pval.linear","r2.linear","pval.quad","r2.quad"
"1","flowering.period.CWM",3.19962240139066e-218,1,1.12130997482759e-201,1
"2","maxheight.CWM",0.00587501076335553,0.45413,0.00336677828724695,0.58948
"3","SLA.CWM",0.0311042965322377,0.30997,0.0292261999042436,0.39275
"4","RaoQ",0.0596820512573052,0.24663,0.0668020822398128,0.27149
"5","FEve",0.0514695847483598,0.26132,0.0598398946053302,0.27376
"6","FRic",0.0173123060682938,0.36372,0.0166985674901133,0.43461
"7","CVAnnHSPeak",0.0180374996094369,0.36006,0.0138059909230217,0.47942
"8","CVMDFMarch",0.0363503336527458,0.29514,0.0446670488810953,0.29515
"9","MDFMDFJanuary",0.00971812646818279,0.41345,0.0121420034235745,0.42992
"10","plotID",0.046111429337199,0.27212,0.055577963923408,0.27315
